Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;timeOverhead;energyOverhead
uniform_1_100;35;270;0.063500;0.063500
uniform_1_100;35;275;0.063500;0.063500
uniform_1_100;35;280;0.063500;0.063500
uniform_1_100;35;285;0.063500;0.063500
uniform_1_100;35;290;0.063500;0.063500
uniform_1_100;35;295;0.063500;0.063500
uniform_1_100;35;300;0.063500;0.063500
uniform_1_100;35;305;0.063500;0.063500
uniform_1_100;35;310;0.063500;0.063500
uniform_1_100;35;315;0.063500;0.063500
uniform_1_100;35;320;0.063500;0.063500
uniform_1_100;35;325;0.063500;0.063500
uniform_1_100;35;330;0.063500;0.063500
uniform_1_100;35;335;0.063500;0.063500
uniform_1_100;35;340;0.063500;0.063500
uniform_1_100;35;345;0.063500;0.063500
uniform_1_100;35;350;0.063500;0.063500
uniform_1_100;35;355;0.063500;0.063500
uniform_1_100;35;360;0.063500;0.063500
uniform_1_100;35;365;0.063500;0.063500
uniform_1_100;35;370;0.063500;0.063500
uniform_1_100;35;375;0.063500;0.063500
uniform_1_100;35;380;0.063500;0.063500
uniform_1_100;35;385;0.063500;0.063500
uniform_1_100;35;390;0.063500;0.063500
uniform_1_100;35;395;0.063500;0.063500
uniform_1_100;35;400;0.063500;0.063500
uniform_1_100;40;5;0.721550;0.164000
uniform_1_100;40;10;0.657050;0.153680
uniform_1_100;40;15;0.596800;0.144040
uniform_1_100;40;20;0.546050;0.135920
uniform_1_100;40;25;0.475800;0.124680
uniform_1_100;40;30;0.407800;0.113800
uniform_1_100;40;35;0.344800;0.103720
uniform_1_100;40;40;0.279800;0.093320
uniform_1_100;40;45;0.215550;0.083040
uniform_1_100;40;50;0.150800;0.072680
uniform_1_100;40;55;0.095300;0.063800
uniform_1_100;40;60;0.057800;0.057800
uniform_1_100;40;65;0.057800;0.057800
uniform_1_100;40;70;0.057800;0.057800
uniform_1_100;40;75;0.057800;0.057800
uniform_1_100;40;80;0.057800;0.057800
uniform_1_100;40;85;0.057800;0.057800
uniform_1_100;40;90;0.057800;0.057800
uniform_1_100;40;95;0.057800;0.057800
uniform_1_100;40;100;0.057800;0.057800
uniform_1_100;40;105;0.057800;0.057800
uniform_1_100;40;110;0.057800;0.057800
uniform_1_100;40;115;0.057800;0.057800
uniform_1_100;40;120;0.057800;0.057800
uniform_1_100;40;125;0.057800;0.057800
uniform_1_100;40;130;0.057800;0.057800
uniform_1_100;40;135;0.057800;0.057800
uniform_1_100;40;140;0.057800;0.057800
uniform_1_100;40;145;0.057800;0.057800
