Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;timeOverhead;energyOverhead
exp;40;325;0.044550;0.044130
exp;40;330;0.044550;0.044130
exp;40;335;0.044550;0.044130
exp;40;340;0.044300;0.044090
exp;40;345;0.044300;0.044090
exp;40;350;0.044300;0.044090
exp;40;355;0.044300;0.044090
exp;40;360;0.044300;0.044090
exp;40;365;0.044300;0.044090
exp;40;370;0.044050;0.044050
exp;40;375;0.044050;0.044050
exp;40;380;0.044050;0.044050
exp;40;385;0.044050;0.044050
exp;40;390;0.044050;0.044050
exp;40;395;0.044050;0.044050
exp;40;400;0.044050;0.044050
exp;45;5;0.486240;0.111180
exp;45;10;0.445490;0.104660
exp;45;15;0.408740;0.098780
exp;45;20;0.370740;0.092700
exp;45;25;0.338740;0.087580
exp;45;30;0.309240;0.082860
exp;45;35;0.282240;0.078540
exp;45;40;0.261490;0.075220
exp;45;45;0.241240;0.071980
exp;45;50;0.221740;0.068860
exp;45;55;0.203490;0.065940
exp;45;60;0.188740;0.063580
exp;45;65;0.173490;0.061140
exp;45;70;0.163490;0.059540
exp;45;75;0.155990;0.058340
exp;45;80;0.146990;0.056900
exp;45;85;0.135490;0.055060
exp;45;90;0.127240;0.053740
exp;45;95;0.119990;0.052580
exp;45;100;0.112740;0.051420
exp;45;105;0.104240;0.050060
exp;45;110;0.097740;0.049020
exp;45;115;0.093990;0.048420
exp;45;120;0.090240;0.047820
exp;45;125;0.086990;0.047300
exp;45;130;0.081990;0.046500
exp;45;135;0.076490;0.045620
exp;45;140;0.072490;0.044980
exp;45;145;0.068990;0.044420
exp;45;150;0.068240;0.044300
exp;45;155;0.067240;0.044140
exp;45;160;0.065490;0.043860
exp;45;165;0.063490;0.043540
exp;45;170;0.060990;0.043140
exp;45;175;0.058240;0.042700
exp;45;180;0.056740;0.042460
exp;45;185;0.055490;0.042260
exp;45;190;0.054740;0.042140
exp;45;195;0.053740;0.041980
exp;45;200;0.052740;0.041820
exp;45;205;0.051740;0.041660
exp;45;210;0.049990;0.041380
exp;45;215;0.049240;0.041260
exp;45;220;0.048490;0.041140
exp;45;225;0.047990;0.041060
exp;45;230;0.047240;0.040940
exp;45;235;0.045490;0.040660
exp;45;240;0.045240;0.040620
exp;45;245;0.044990;0.040580
exp;45;250;0.043990;0.040420
exp;45;255;0.043740;0.040380
exp;45;260;0.043740;0.040380
exp;45;265;0.042740;0.040220
exp;45;270;0.041990;0.040100
exp;45;275;0.041240;0.039980
exp;45;280;0.040990;0.039940
exp;45;285;0.040740;0.039900
exp;45;290;0.040740;0.039900
exp;45;295;0.040740;0.039900
exp;45;300;0.040740;0.039900
exp;45;305;0.040740;0.039900
exp;45;310;0.040490;0.039860
exp;45;315;0.040490;0.039860
exp;45;320;0.040240;0.039820
exp;45;325;0.040240;0.039820
exp;45;330;0.040240;0.039820
exp;45;335;0.039990;0.039780
exp;45;340;0.039990;0.039780
exp;45;345;0.039990;0.039780
exp;45;350;0.039990;0.039780
exp;45;355;0.039990;0.039780
exp;45;360;0.039990;0.039780
exp;45;365;0.039740;0.039740
exp;45;370;0.039740;0.039740
