Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian;45;365;-0.9
gaussian;45;370;-0.9
gaussian;45;375;-0.9
gaussian;45;380;-0.9
gaussian;45;385;-0.9
gaussian;45;390;-0.9
gaussian;45;395;-0.9
gaussian;45;400;-0.9
gaussian;50;5;-28.8
gaussian;50;10;-28.6
gaussian;50;15;-28.3
gaussian;50;20;-27.5
gaussian;50;25;-26.5
gaussian;50;30;-25.0
gaussian;50;35;-22.9
gaussian;50;40;-20.4
gaussian;50;45;-17.7
gaussian;50;50;-14.9
gaussian;50;55;-12.1
gaussian;50;60;-9.8
gaussian;50;65;-7.7
gaussian;50;70;-5.9
gaussian;50;75;-4.6
gaussian;50;80;-3.6
gaussian;50;85;-3.0
gaussian;50;90;-2.6
gaussian;50;95;-2.3
gaussian;50;100;-2.2
gaussian;50;105;-2.1
gaussian;50;110;-2.1
gaussian;50;115;-2.1
gaussian;50;120;-2.1
gaussian;50;125;-2.1
gaussian;50;130;-2.1
gaussian;50;135;-2.1
gaussian;50;140;-2.1
gaussian;50;145;-2.1
gaussian;50;150;-2.1
gaussian;50;155;-2.1
gaussian;50;160;-2.1
gaussian;50;165;-2.1
gaussian;50;170;-2.1
gaussian;50;175;-2.1
gaussian;50;180;-2.1
gaussian;50;185;-2.1
gaussian;50;190;-2.1
gaussian;50;195;-2.1
gaussian;50;200;-2.1
gaussian;50;205;-2.1
gaussian;50;210;-2.1
gaussian;50;215;-2.1
gaussian;50;220;-2.1
gaussian;50;225;-2.1
gaussian;50;230;-2.1
gaussian;50;235;-2.1
gaussian;50;240;-2.1
gaussian;50;245;-2.1
gaussian;50;250;-2.1
gaussian;50;255;-2.1
gaussian;50;260;-2.1
gaussian;50;265;-2.1
gaussian;50;270;-2.1
gaussian;50;275;-2.1
gaussian;50;280;-2.1
gaussian;50;285;-2.1
gaussian;50;290;-2.1
gaussian;50;295;-2.1
gaussian;50;300;-2.1
gaussian;50;305;-2.1
gaussian;50;310;-2.1
gaussian;50;315;-2.1
gaussian;50;320;-2.1
gaussian;50;325;-2.1
gaussian;50;330;-2.1
gaussian;50;335;-2.1
gaussian;50;340;-2.1
gaussian;50;345;-2.1
gaussian;50;350;-2.1
gaussian;50;355;-2.1
gaussian;50;360;-2.1
gaussian;50;365;-2.1
gaussian;50;370;-2.1
gaussian;50;375;-2.1
gaussian;50;380;-2.1
gaussian;50;385;-2.1
gaussian;50;390;-2.1
gaussian;50;395;-2.1
gaussian;50;400;-2.1
gaussian;55;5;-29.7
gaussian;55;10;-29.4
gaussian;55;15;-28.6
gaussian;55;20;-27.6
gaussian;55;25;-26.1
gaussian;55;30;-24.0
gaussian;55;35;-21.5
gaussian;55;40;-18.8
gaussian;55;45;-16.0
gaussian;55;50;-13.2
gaussian;55;55;-10.9
gaussian;55;60;-8.8
gaussian;55;65;-7.0
gaussian;55;70;-5.7
gaussian;55;75;-4.7
gaussian;55;80;-4.1
gaussian;55;85;-3.7
gaussian;55;90;-3.4
gaussian;55;95;-3.3
gaussian;55;100;-3.2
gaussian;55;105;-3.2
gaussian;55;110;-3.2
gaussian;55;115;-3.2
gaussian;55;120;-3.2
gaussian;55;125;-3.2
gaussian;55;130;-3.2
gaussian;55;135;-3.2
gaussian;55;140;-3.2
gaussian;55;145;-3.2
gaussian;55;150;-3.2
gaussian;55;155;-3.2
gaussian;55;160;-3.2
gaussian;55;165;-3.2
gaussian;55;170;-3.2
gaussian;55;175;-3.2
gaussian;55;180;-3.2
gaussian;55;185;-3.2
gaussian;55;190;-3.2
gaussian;55;195;-3.2
gaussian;55;200;-3.2
gaussian;55;205;-3.2
gaussian;55;210;-3.2
gaussian;55;215;-3.2
gaussian;55;220;-3.2
gaussian;55;225;-3.2
gaussian;55;230;-3.2
gaussian;55;235;-3.2
gaussian;55;240;-3.2
gaussian;55;245;-3.2
gaussian;55;250;-3.2
gaussian;55;255;-3.2
gaussian;55;260;-3.2
gaussian;55;265;-3.2
gaussian;55;270;-3.2
gaussian;55;275;-3.2
gaussian;55;280;-3.2
gaussian;55;285;-3.2
gaussian;55;290;-3.2
gaussian;55;295;-3.2
gaussian;55;300;-3.2
gaussian;55;305;-3.2
gaussian;55;310;-3.2
gaussian;55;315;-3.2
gaussian;55;320;-3.2
gaussian;55;325;-3.2
gaussian;55;330;-3.2
gaussian;55;335;-3.2
gaussian;55;340;-3.2
gaussian;55;345;-3.2
gaussian;55;350;-3.2
gaussian;55;355;-3.2
gaussian;55;360;-3.2
gaussian;55;365;-3.2
gaussian;55;370;-3.2
gaussian;55;375;-3.2
gaussian;55;380;-3.2
gaussian;55;385;-3.2
gaussian;55;390;-3.2
gaussian;55;395;-3.2
gaussian;55;400;-3.2
gaussian;60;5;-30.4
gaussian;60;10;-29.6
gaussian;60;15;-28.7
gaussian;60;20;-27.1
