Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
trimodal;55;340;0.8
trimodal;55;345;0.8
trimodal;55;350;0.8
trimodal;55;355;0.8
trimodal;55;360;0.8
trimodal;55;365;0.8
trimodal;55;370;0.8
trimodal;55;375;0.8
trimodal;55;380;0.8
trimodal;55;385;0.8
trimodal;55;390;0.8
trimodal;55;395;0.8
trimodal;55;400;0.8
trimodal;60;5;-17.4
trimodal;60;10;-17.3
trimodal;60;15;-17.2
trimodal;60;20;-17.1
trimodal;60;25;-16.5
trimodal;60;30;-15.5
trimodal;60;35;-14.1
trimodal;60;40;-12.2
trimodal;60;45;-10.6
trimodal;60;50;-9.6
trimodal;60;55;-9.0
trimodal;60;60;-8.7
trimodal;60;65;-8.6
trimodal;60;70;-8.3
trimodal;60;75;-7.8
trimodal;60;80;-6.9
trimodal;60;85;-5.4
trimodal;60;90;-3.4
trimodal;60;95;-1.8
trimodal;60;100;-0.6
trimodal;60;105;0.1
trimodal;60;110;0.4
trimodal;60;115;0.5
trimodal;60;120;0.5
trimodal;60;125;0.5
trimodal;60;130;0.5
trimodal;60;135;0.5
trimodal;60;140;0.5
trimodal;60;145;0.5
trimodal;60;150;0.5
trimodal;60;155;0.5
trimodal;60;160;0.5
trimodal;60;165;0.5
trimodal;60;170;0.5
trimodal;60;175;0.5
trimodal;60;180;0.5
trimodal;60;185;0.5
trimodal;60;190;0.5
trimodal;60;195;0.5
trimodal;60;200;0.5
trimodal;60;205;0.5
trimodal;60;210;0.5
trimodal;60;215;0.5
trimodal;60;220;0.5
trimodal;60;225;0.5
trimodal;60;230;0.5
trimodal;60;235;0.5
trimodal;60;240;0.5
trimodal;60;245;0.5
trimodal;60;250;0.5
trimodal;60;255;0.5
trimodal;60;260;0.5
trimodal;60;265;0.5
trimodal;60;270;0.5
trimodal;60;275;0.5
trimodal;60;280;0.5
trimodal;60;285;0.5
trimodal;60;290;0.5
