Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian_400_25;30;135;31.0
gaussian_400_25;30;140;30.9
gaussian_400_25;30;145;30.8
gaussian_400_25;30;150;30.8
gaussian_400_25;30;155;30.7
gaussian_400_25;30;160;30.6
gaussian_400_25;30;165;30.5
gaussian_400_25;30;170;30.4
gaussian_400_25;30;175;30.3
gaussian_400_25;30;180;30.2
gaussian_400_25;30;185;30.1
gaussian_400_25;30;190;30.0
gaussian_400_25;30;195;29.9
gaussian_400_25;30;200;29.8
gaussian_400_25;30;205;29.7
gaussian_400_25;30;210;29.6
gaussian_400_25;30;215;29.5
gaussian_400_25;30;220;29.4
gaussian_400_25;30;225;29.3
gaussian_400_25;30;230;29.2
gaussian_400_25;30;235;29.1
gaussian_400_25;30;240;29.0
gaussian_400_25;30;245;28.9
gaussian_400_25;30;250;28.8
gaussian_400_25;30;255;28.7
gaussian_400_25;30;260;28.6
gaussian_400_25;30;265;28.5
gaussian_400_25;30;270;28.4
gaussian_400_25;30;275;28.3
gaussian_400_25;30;280;28.2
gaussian_400_25;30;285;28.2
gaussian_400_25;30;290;28.1
gaussian_400_25;30;295;28.0
gaussian_400_25;30;300;27.9
gaussian_400_25;30;305;27.8
gaussian_400_25;30;310;27.8
gaussian_400_25;30;315;27.8
gaussian_400_25;30;320;27.9
gaussian_400_25;30;325;28.0
gaussian_400_25;30;330;28.3
gaussian_400_25;30;335;28.6
gaussian_400_25;30;340;29.1
gaussian_400_25;30;345;29.8
gaussian_400_25;30;350;30.6
gaussian_400_25;30;355;31.6
gaussian_400_25;30;360;32.7
gaussian_400_25;30;365;33.9
gaussian_400_25;30;370;35.0
gaussian_400_25;30;375;36.1
gaussian_400_25;30;380;37.3
gaussian_400_25;30;385;38.3
gaussian_400_25;30;390;39.2
gaussian_400_25;30;395;40.0
gaussian_400_25;30;400;40.6
gaussian_400_25;35;5;32.8
gaussian_400_25;35;10;32.7
gaussian_400_25;35;15;32.6
gaussian_400_25;35;20;32.5
gaussian_400_25;35;25;32.4
gaussian_400_25;35;30;32.3
gaussian_400_25;35;35;32.2
gaussian_400_25;35;40;32.1
gaussian_400_25;35;45;32.0
gaussian_400_25;35;50;31.9
gaussian_400_25;35;55;31.8
gaussian_400_25;35;60;31.7
gaussian_400_25;35;65;31.6
gaussian_400_25;35;70;31.5
gaussian_400_25;35;75;31.4
gaussian_400_25;35;80;31.3
